cell_label,x,y,celltype_F,celltype_F_class,area
25490,7609,19034,VLMC,Non-neuronal,FI
25491,15257,19034,Oligo,Non-neuronal,FI
25492,13764,19037,Oligo,Non-neuronal,FI
25493,5753,19039,L2/3 IT,Excitatory,FI
25494,14989,19037,Oligo,Non-neuronal,FI
25495,16447,19038,Micro/PVM,Non-neuronal,FI
25496,17681,19037,Oligo,Non-neuronal,FI
25497,15339,19038,Oligo,Non-neuronal,FI
25498,16403,19039,Oligo,Non-neuronal,FI
25499,10306,19041,Oligo,Non-neuronal,FI
25500,14504,19041,Oligo,Non-neuronal,FI
25501,14828,19040,Oligo,Non-neuronal,FI
25503,17023,19042,Oligo,Non-neuronal,FI
25504,8193,19041,L5 IT,Excitatory,FI
25505,12435,19044,Oligo,Non-neuronal,FI
25509,15018,19045,Oligo,Non-neuronal,FI
25510,15826,19044,Oligo,Non-neuronal,FI
25511,15851,19044,Oligo,Non-neuronal,FI
25512,6990,19047,Oligo,Non-neuronal,FI
25514,8447,19049,Oligo,Non-neuronal,FI
25516,13958,19048,Oligo,Non-neuronal,FI
25517,15752,19049,Oligo,Non-neuronal,FI
25524,14181,19056,Oligo,Non-neuronal,FI
25525,12989,19057,Oligo,Non-neuronal,FI
25526,14228,19058,Oligo,Non-neuronal,FI
25527,14751,19057,Oligo,Non-neuronal,FI
25528,15192,19059,Oligo,Non-neuronal,FI
25529,15333,19060,Oligo,Non-neuronal,FI
25530,16106,19058,Oligo,Non-neuronal,FI
25531,14808,19059,Oligo,Non-neuronal,FI
25533,15786,19061,Oligo,Non-neuronal,FI
25534,16032,19061,Oligo,Non-neuronal,FI
25535,7672,19063,L4 IT,Excitatory,FI
25537,13430,19062,Oligo,Non-neuronal,FI
25544,12891,19066,Oligo,Non-neuronal,FI
25545,13719,19065,Oligo,Non-neuronal,FI
25546,16597,19067,Oligo,Non-neuronal,FI
25547,17430,19067,Oligo,Non-neuronal,FI
25548,9537,19069,Oligo,Non-neuronal,FI
25553,14319,19070,Oligo,Non-neuronal,FI
25555,5466,19075,L2/3 IT,Excitatory,FI
25557,16082,19074,Oligo,Non-neuronal,FI
25562,12945,19082,Oligo,Non-neuronal,FI
25563,14899,19082,Oligo,Non-neuronal,FI
25564,19833,19081,OPC,Non-neuronal,FI
25566,17826,19083,Oligo,Non-neuronal,FI
25567,18521,19087,Oligo,Non-neuronal,FI
25568,15825,19085,Oligo,Non-neuronal,FI
25569,7807,19086,L6 CT,Excitatory,FI
25570,14766,19086,Oligo,Non-neuronal,FI
25571,10134,19089,Oligo,Non-neuronal,FI
25573,8945,19091,Oligo,Non-neuronal,FI
25576,16229,19091,Oligo,Non-neuronal,FI
25577,10047,19092,L6 IT,Excitatory,FI
25578,13950,19092,Micro/PVM,Non-neuronal,FI
25579,14223,19094,Oligo,Non-neuronal,FI
25580,14821,19093,Oligo,Non-neuronal,FI
25584,19547,19095,Astro,Non-neuronal,FI
25585,9897,19096,OPC,Non-neuronal,FI
25586,9956,19096,Oligo,Non-neuronal,FI
25587,12572,19095,Oligo,Non-neuronal,FI
25589,16158,19098,Oligo,Non-neuronal,FI
25590,17680,19098,Oligo,Non-neuronal,FI
25591,17897,19096,Oligo,Non-neuronal,FI
25593,19213,19100,Oligo,Non-neuronal,FI
25594,5995,19102,Astro,Non-neuronal,FI
25595,9531,19100,L5 IT,Excitatory,FI
25597,12134,19102,Oligo,Non-neuronal,FI
25598,11578,19107,Oligo,Non-neuronal,FI
25602,6232,19109,Oligo,Non-neuronal,FI
25603,10988,19108,Oligo,Non-neuronal,FI
25605,15620,19109,Oligo,Non-neuronal,FI
25606,19139,19109,Oligo,Non-neuronal,FI
25611,17645,19112,Oligo,Non-neuronal,FI
25613,7746,19114,L6 IT Car3,Excitatory,FI
25614,14331,19113,Micro/PVM,Non-neuronal,FI
25615,14528,19113,Oligo,Non-neuronal,FI
25616,16397,19113,Oligo,Non-neuronal,FI
25617,8423,19115,VIP,Inhibitory,FI
25618,12982,19116,Oligo,Non-neuronal,FI
25620,15271,19115,Oligo,Non-neuronal,FI
25621,17069,19116,Oligo,Non-neuronal,FI
25622,17298,19114,Oligo,Non-neuronal,FI
25625,19257,19116,Oligo,Non-neuronal,FI
25627,12672,19119,Oligo,Non-neuronal,FI
25628,13757,19121,Oligo,Non-neuronal,FI
25632,15789,19122,Oligo,Non-neuronal,FI
25633,12202,19122,Oligo,Non-neuronal,FI
25635,19505,19124,Endo,Non-neuronal,FI
25636,13728,19127,Oligo,Non-neuronal,FI
25638,15689,19129,Oligo,Non-neuronal,FI
25639,16801,19130,Oligo,Non-neuronal,FI
25644,13928,19132,Oligo,Non-neuronal,FI
25645,16553,19132,Oligo,Non-neuronal,FI
25646,5288,19135,LAMP5,Inhibitory,FI
25648,17848,19134,Oligo,Non-neuronal,FI
25649,5540,19136,Oligo,Non-neuronal,FI
25650,7908,19137,L4 IT,Excitatory,FI
25651,11655,19136,Oligo,Non-neuronal,FI
25654,12020,19141,Oligo,Non-neuronal,FI
25655,12334,19138,Oligo,Non-neuronal,FI
25656,17592,19139,Oligo,Non-neuronal,FI
25657,5519,19147,L2/3 IT,Excitatory,FI
25658,14414,19143,Micro/PVM,Non-neuronal,FI
25660,14791,19145,Oligo,Non-neuronal,FI
25661,15442,19145,Oligo,Non-neuronal,FI
25665,17244,19148,Oligo,Non-neuronal,FI
25666,9514,19148,Oligo,Non-neuronal,FI
25667,9607,19147,Oligo,Non-neuronal,FI
25668,13035,19148,Oligo,Non-neuronal,FI
25669,8574,19150,L6B,Excitatory,FI
25670,17620,19150,Oligo,Non-neuronal,FI
25671,18806,19151,Oligo,Non-neuronal,FI
25672,19808,19151,L2/3 IT,Excitatory,FI
25673,11841,19151,Oligo,Non-neuronal,FI
25674,15383,19153,Oligo,Non-neuronal,FI
25675,15533,19152,Oligo,Non-neuronal,FI
25679,15916,19155,Oligo,Non-neuronal,FI
25680,13585,19158,Oligo,Non-neuronal,FI
25681,14320,19157,Oligo,Non-neuronal,FI
25682,7951,19160,L6 IT,Excitatory,FI
25684,14934,19159,Oligo,Non-neuronal,FI
25685,18436,19160,Oligo,Non-neuronal,FI
25686,18940,19160,Micro/PVM,Non-neuronal,FI
25687,8215,19161,Astro,Non-neuronal,FI
25688,8683,19162,Astro,Non-neuronal,FI
25689,13731,19161,Oligo,Non-neuronal,FI
25691,11635,19162,Oligo,Non-neuronal,FI
25693,9914,19167,Oligo,Non-neuronal,FI
25694,12564,19166,Oligo,Non-neuronal,FI
25696,9596,19171,Oligo,Non-neuronal,FI
25697,16392,19167,Oligo,Non-neuronal,FI
25698,6232,19169,Oligo,Non-neuronal,FI
25700,13176,19170,Oligo,Non-neuronal,FI
25701,15724,19170,Oligo,Non-neuronal,FI
25702,12640,19174,Oligo,Non-neuronal,FI
25703,14512,19173,Oligo,Non-neuronal,FI
25704,16623,19171,Astro,Non-neuronal,FI
25706,19155,19171,Oligo,Non-neuronal,FI
25707,9104,19173,Oligo,Non-neuronal,FI
25709,19051,19174,Oligo,Non-neuronal,FI
25710,11733,19176,Oligo,Non-neuronal,FI
25711,14436,19176,Oligo,Non-neuronal,FI
25712,15150,19176,Oligo,Non-neuronal,FI
25714,11596,19178,Oligo,Non-neuronal,FI
25715,13105,19177,Oligo,Non-neuronal,FI
25716,14153,19176,Oligo,Non-neuronal,FI
25717,18893,19177,Oligo,Non-neuronal,FI
25718,13936,19178,Oligo,Non-neuronal,FI
25719,18120,19179,Oligo,Non-neuronal,FI
25720,7209,19180,L4 IT,Excitatory,FI
25721,6786,19182,Oligo,Non-neuronal,FI
25722,14264,19182,Oligo,Non-neuronal,FI
25723,15534,19184,Oligo,Non-neuronal,FI
25724,14919,19187,Oligo,Non-neuronal,FI
25725,16890,19187,Oligo,Non-neuronal,FI
25726,17236,19187,Oligo,Non-neuronal,FI
25729,12363,19189,Oligo,Non-neuronal,FI
25730,12912,19189,Oligo,Non-neuronal,FI
25731,13887,19191,Oligo,Non-neuronal,FI
25733,6391,19193,L6 IT,Excitatory,FI
25734,13337,19193,Oligo,Non-neuronal,FI
25735,7087,19195,Endo,Non-neuronal,FI
25736,15171,19195,Oligo,Non-neuronal,FI
25737,17707,19195,Oligo,Non-neuronal,FI
25738,9924,19196,Oligo,Non-neuronal,FI
25739,14809,19196,Oligo,Non-neuronal,FI
25740,15235,19198,Oligo,Non-neuronal,FI
25741,15589,19197,Oligo,Non-neuronal,FI
