cell_label,x,y,celltype_F,celltype_F_class,area
9407,9257,4651,Micro/PVM,Non-neuronal,ACC
9408,15581,4652,Micro/PVM,Non-neuronal,ACC
9409,17313,4652,Micro/PVM,Non-neuronal,ACC
9411,7773,4653,Oligo,Non-neuronal,ACC
9412,10168,4653,Micro/PVM,Non-neuronal,ACC
9414,4292,4654,Oligo,Non-neuronal,ACC
9416,3985,4658,Oligo,Non-neuronal,ACC
9418,11644,4659,L6B,Excitatory,ACC
9419,1589,4661,Oligo,Non-neuronal,ACC
9421,21086,4660,Astro,Non-neuronal,ACC
9422,23905,4660,SST,Inhibitory,ACC
9423,1429,4661,Oligo,Non-neuronal,ACC
9424,7238,4661,OPC,Non-neuronal,ACC
9428,22384,4663,Endo,Non-neuronal,ACC
9430,1634,4666,Oligo,Non-neuronal,ACC
9432,23933,4668,SST,Inhibitory,ACC
9433,1508,4668,Oligo,Non-neuronal,ACC
9435,4194,4668,Oligo,Non-neuronal,ACC
9437,13353,4670,PVALB,Inhibitory,ACC
9438,15358,4670,Oligo,Non-neuronal,ACC
9443,20611,4678,Astro,Non-neuronal,ACC
9444,24316,4678,L2/3 IT,Excitatory,ACC
9445,5081,4679,Oligo,Non-neuronal,ACC
9446,8587,4681,Oligo,Non-neuronal,ACC
9448,5756,4685,Oligo,Non-neuronal,ACC
9449,10932,4685,L6 CT,Excitatory,ACC
9451,9577,4688,VIP,Inhibitory,ACC
9452,16076,4687,L2/3 IT,Excitatory,ACC
9453,1263,4688,Oligo,Non-neuronal,ACC
9454,5193,4689,Oligo,Non-neuronal,ACC
9455,15298,4690,L6B,Excitatory,ACC
9457,2059,4691,Oligo,Non-neuronal,ACC
9459,12075,4690,L6 IT,Excitatory,ACC
9460,22949,4690,VLMC,Non-neuronal,ACC
9461,23093,4690,L5/6 NP,Excitatory,ACC
9462,3464,4692,Oligo,Non-neuronal,ACC
9463,3556,4693,Oligo,Non-neuronal,ACC
9464,8999,4693,L6B,Excitatory,ACC
9467,15939,4693,L6B,Excitatory,ACC
9469,21161,4687,Micro/PVM,Non-neuronal,ACC
9471,5416,4693,Oligo,Non-neuronal,ACC
9473,3258,4697,Oligo,Non-neuronal,ACC
9474,9062,4699,SST,Inhibitory,ACC
9476,15771,4698,Oligo,Non-neuronal,ACC
9477,2715,4700,Oligo,Non-neuronal,ACC
9478,3070,4701,Oligo,Non-neuronal,ACC
9479,9774,4701,Oligo,Non-neuronal,ACC
9480,17525,4700,Oligo,Non-neuronal,ACC
9481,17596,4703,Oligo,Non-neuronal,ACC
9484,12162,4705,L2/3 IT,Excitatory,ACC
9487,10621,4705,OPC,Non-neuronal,ACC
9489,14745,4706,L6 CT,Excitatory,ACC
9491,23927,4707,Micro/PVM,Non-neuronal,ACC
9492,7425,4710,Oligo,Non-neuronal,ACC
9493,17676,4712,Astro,Non-neuronal,ACC
9494,19301,4711,Oligo,Non-neuronal,ACC
9496,1004,4714,Oligo,Non-neuronal,ACC
9497,4523,4713,Oligo,Non-neuronal,ACC
9498,8204,4712,Oligo,Non-neuronal,ACC
9499,16115,4714,L6 IT Car3,Excitatory,ACC
9500,6435,4714,Micro/PVM,Non-neuronal,ACC
9501,11399,4714,Astro,Non-neuronal,ACC
9503,1514,4715,Oligo,Non-neuronal,ACC
9504,3372,4716,Oligo,Non-neuronal,ACC
9505,20748,4716,L5 IT,Excitatory,ACC
9506,21059,4716,Astro,Non-neuronal,ACC
9509,9172,4718,SST,Inhibitory,ACC
9511,2049,4720,Oligo,Non-neuronal,ACC
9516,17144,4721,Astro,Non-neuronal,ACC
9517,4065,4723,Oligo,Non-neuronal,ACC
9518,5306,4721,Oligo,Non-neuronal,ACC
9519,6401,4723,Oligo,Non-neuronal,ACC
9520,15764,4723,OPC,Non-neuronal,ACC
9521,19113,4724,Oligo,Non-neuronal,ACC
9522,4880,4723,Oligo,Non-neuronal,ACC
9523,13983,4724,Oligo,Non-neuronal,ACC
9525,20713,4723,Astro,Non-neuronal,ACC
9527,23529,4726,L2/3 IT,Excitatory,ACC
9528,5531,4727,Oligo,Non-neuronal,ACC
9529,9551,4726,Oligo,Non-neuronal,ACC
9530,13960,4728,Oligo,Non-neuronal,ACC
9531,18569,4727,Astro,Non-neuronal,ACC
9533,6585,4727,Oligo,Non-neuronal,ACC
9534,14181,4730,LAMP5 LHX6,Inhibitory,ACC
9535,12980,4731,Oligo,Non-neuronal,ACC
9536,18528,4731,Astro,Non-neuronal,ACC
9537,1157,4733,Oligo,Non-neuronal,ACC
9538,1500,4736,Oligo,Non-neuronal,ACC
9539,17227,4734,L5/6 NP,Excitatory,ACC
9540,4454,4736,Oligo,Non-neuronal,ACC
9542,23562,4735,SST,Inhibitory,ACC
9543,2087,4738,Oligo,Non-neuronal,ACC
9545,5350,4737,Oligo,Non-neuronal,ACC
9546,3976,4740,Oligo,Non-neuronal,ACC
9548,4607,4739,Oligo,Non-neuronal,ACC
9553,2484,4744,Oligo,Non-neuronal,ACC
9555,18911,4744,L4 IT,Excitatory,ACC
9557,3588,4747,Oligo,Non-neuronal,ACC
9558,8772,4745,VLMC,Non-neuronal,ACC
9559,2161,4748,Oligo,Non-neuronal,ACC
9560,22066,4748,Astro,Non-neuronal,ACC
9561,5473,4751,Oligo,Non-neuronal,ACC
9565,1401,4752,Oligo,Non-neuronal,ACC
9566,2270,4753,Oligo,Non-neuronal,ACC
9569,8872,4753,Oligo,Non-neuronal,ACC
9571,14201,4751,L6 CT,Excitatory,ACC
9574,7208,4753,Astro,Non-neuronal,ACC
9575,11572,4753,LAMP5 LHX6,Inhibitory,ACC
9576,19170,4754,L5/6 NP,Excitatory,ACC
9577,20074,4753,L5 ET,Excitatory,ACC
9579,1096,4758,Oligo,Non-neuronal,ACC
9580,4898,4758,Oligo,Non-neuronal,ACC
9582,22197,4758,Astro,Non-neuronal,ACC
9584,1606,4760,Oligo,Non-neuronal,ACC
9586,5632,4761,Oligo,Non-neuronal,ACC
9587,9429,4763,Astro,Non-neuronal,ACC
9590,7783,4766,Astro,Non-neuronal,ACC
9591,16397,4765,Micro/PVM,Non-neuronal,ACC
9594,6202,4765,Oligo,Non-neuronal,ACC
9596,1798,4767,Oligo,Non-neuronal,ACC
9597,2418,4767,Oligo,Non-neuronal,ACC
9599,7028,4769,Oligo,Non-neuronal,ACC
9601,23124,4768,L2/3 IT,Excitatory,ACC
9602,3900,4770,Oligo,Non-neuronal,ACC
9603,6307,4769,Oligo,Non-neuronal,ACC
9604,11594,4770,Oligo,Non-neuronal,ACC
9605,20827,4770,Astro,Non-neuronal,ACC
9607,1828,4771,Oligo,Non-neuronal,ACC
