cell_label,x,y,celltype_F,celltype_F_class,area
3796,25397,2969,L2/3 IT,Excitatory,A1C
3797,25921,2969,Oligo,Non-neuronal,A1C
3798,15700,2971,Oligo,Non-neuronal,A1C
3799,12999,2972,Oligo,Non-neuronal,A1C
3800,13531,2973,Astro,Non-neuronal,A1C
3801,16582,2973,Oligo,Non-neuronal,A1C
3805,12638,2978,Oligo,Non-neuronal,A1C
3806,16616,2979,Oligo,Non-neuronal,A1C
3807,21282,2979,Oligo,Non-neuronal,A1C
3808,26750,2979,Oligo,Non-neuronal,A1C
3809,19397,2979,L5 IT,Excitatory,A1C
3810,19981,2979,Oligo,Non-neuronal,A1C
3811,19960,2984,Oligo,Non-neuronal,A1C
3812,22478,2981,Oligo,Non-neuronal,A1C
3815,18773,2986,L6 IT Car3,Excitatory,A1C
3816,18811,2986,VIP,Inhibitory,A1C
3820,12425,2991,Oligo,Non-neuronal,A1C
3821,10635,2993,Oligo,Non-neuronal,A1C
3822,21068,2992,Oligo,Non-neuronal,A1C
3823,23653,2992,Astro,Non-neuronal,A1C
3824,16759,2994,Oligo,Non-neuronal,A1C
3826,20471,2993,Chandelier,Inhibitory,A1C
3830,10306,2999,Oligo,Non-neuronal,A1C
3832,10134,2998,Astro,Non-neuronal,A1C
3833,11019,2999,Oligo,Non-neuronal,A1C
3837,25924,3000,L2/3 IT,Excitatory,A1C
3838,26239,3001,VIP,Inhibitory,A1C
3840,25266,3002,Micro/PVM,Non-neuronal,A1C
3841,15983,3007,Oligo,Non-neuronal,A1C
3842,16144,3007,L6 IT Car3,Excitatory,A1C
3843,21311,3006,L5 ET,Excitatory,A1C
3845,17108,3008,Oligo,Non-neuronal,A1C
3848,12522,3012,Astro,Non-neuronal,A1C
3850,23408,3011,Oligo,Non-neuronal,A1C
3852,18105,3012,Astro,Non-neuronal,A1C
3854,21177,3012,Astro,Non-neuronal,A1C
3855,26887,3011,Micro/PVM,Non-neuronal,A1C
3859,11104,3016,OPC,Non-neuronal,A1C
3861,22830,3017,Endo,Non-neuronal,A1C
3862,11379,3017,Oligo,Non-neuronal,A1C
3863,13662,3017,Oligo,Non-neuronal,A1C
3867,22868,3019,L6 IT,Excitatory,A1C
3872,11343,3022,Oligo,Non-neuronal,A1C
3873,13516,3019,Astro,Non-neuronal,A1C
3875,12565,3025,Oligo,Non-neuronal,A1C
3878,12433,3026,Oligo,Non-neuronal,A1C
3880,14451,3030,Oligo,Non-neuronal,A1C
3881,19087,3029,Oligo,Non-neuronal,A1C
3883,20258,3032,L6 IT Car3,Excitatory,A1C
3885,26252,3030,L2/3 IT,Excitatory,A1C
3889,25268,3031,L2/3 IT,Excitatory,A1C
3891,19410,3034,Oligo,Non-neuronal,A1C
3892,20150,3035,OPC,Non-neuronal,A1C
