cell_label,x,y,celltype_F,celltype_F_class,area
10089,7624,4587,Astro,Non-neuronal,S1C
10093,33585,4586,Micro/PVM,Non-neuronal,S1C
10094,34179,4586,L2/3 IT,Excitatory,S1C
10097,24819,4587,Micro/PVM,Non-neuronal,S1C
10100,34762,4590,OPC,Non-neuronal,S1C
10102,13951,4593,Oligo,Non-neuronal,S1C
10108,34244,4592,VIP,Inhibitory,S1C
10110,2880,4594,L2/3 IT,Excitatory,S1C
10111,9480,4593,Oligo,Non-neuronal,S1C
10112,16705,4593,Oligo,Non-neuronal,S1C
10113,17121,4592,SST,Inhibitory,S1C
10118,13628,4595,VIP,Inhibitory,S1C
10119,13740,4595,L2/3 IT,Excitatory,S1C
10120,14724,4595,Endo,Non-neuronal,S1C
10122,23944,4596,Oligo,Non-neuronal,S1C
10123,24784,4595,VIP,Inhibitory,S1C
10125,1934,4598,L4 IT,Excitatory,S1C
10127,10436,4597,L5 IT,Excitatory,S1C
10129,17753,4598,Oligo,Non-neuronal,S1C
10133,33433,4596,L4 IT,Excitatory,S1C
10135,4139,4598,Micro/PVM,Non-neuronal,S1C
10136,28488,4601,LAMP5,Inhibitory,S1C
10137,30689,4600,Micro/PVM,Non-neuronal,S1C
10143,17702,4600,VLMC,Non-neuronal,S1C
10144,17885,4600,L2/3 IT,Excitatory,S1C
10147,6876,4601,L5 IT,Excitatory,S1C
10149,11910,4603,Endo,Non-neuronal,S1C
10151,29416,4602,L2/3 IT,Excitatory,S1C
10154,17617,4604,L2/3 IT,Excitatory,S1C
10159,30283,4603,Astro,Non-neuronal,S1C
10162,2907,4606,Oligo,Non-neuronal,S1C
10164,6351,4605,Oligo,Non-neuronal,S1C
10168,11373,4606,Oligo,Non-neuronal,S1C
10171,5105,4604,Chandelier,Inhibitory,S1C
10174,10371,4607,VIP,Inhibitory,S1C
10177,25364,4607,Astro,Non-neuronal,S1C
10181,11237,4609,VIP,Inhibitory,S1C
10185,27821,4608,OPC,Non-neuronal,S1C
10188,10884,4611,Oligo,Non-neuronal,S1C
10190,28449,4610,L6 CT,Excitatory,S1C
10191,31295,4610,L2/3 IT,Excitatory,S1C
10192,34349,4611,PVALB,Inhibitory,S1C
10193,35583,4611,PVALB,Inhibitory,S1C
10195,4571,4613,L2/3 IT,Excitatory,S1C
10196,7430,4613,PVALB,Inhibitory,S1C
10200,16618,4612,L2/3 IT,Excitatory,S1C
10204,4102,4613,L5/6 NP,Excitatory,S1C
10205,19834,4615,Micro/PVM,Non-neuronal,S1C
10206,22606,4614,Chandelier,Inhibitory,S1C
10208,33034,4615,SST,Inhibitory,S1C
10209,11952,4616,SST,Inhibitory,S1C
10212,26790,4615,L2/3 IT,Excitatory,S1C
10217,4493,4620,LAMP5,Inhibitory,S1C
10218,10032,4619,Oligo,Non-neuronal,S1C
10220,14916,4620,L2/3 IT,Excitatory,S1C
10223,28263,4619,L4 IT,Excitatory,S1C
10229,1448,4623,L2/3 IT,Excitatory,S1C
10230,1605,4623,Astro,Non-neuronal,S1C
10231,3241,4623,Micro/PVM,Non-neuronal,S1C
10235,9283,4623,L2/3 IT,Excitatory,S1C
10237,19933,4622,Micro/PVM,Non-neuronal,S1C
10240,29860,4623,L2/3 IT,Excitatory,S1C
10242,31806,4624,OPC,Non-neuronal,S1C
10243,33604,4623,L2/3 IT,Excitatory,S1C
10245,631,4624,VIP,Inhibitory,S1C
10248,13354,4633,L2/3 IT,Excitatory,S1C
10249,17206,4625,Micro/PVM,Non-neuronal,S1C
10252,11995,4626,Chandelier,Inhibitory,S1C
10253,12328,4627,L5 IT,Excitatory,S1C
10256,27753,4627,OPC,Non-neuronal,S1C
10260,21978,4629,SNCG,Inhibitory,S1C
10261,26348,4630,Oligo,Non-neuronal,S1C
10263,5700,4631,Micro/PVM,Non-neuronal,S1C
