,x,y,celltype_F,rotated_x,rotated_y
3197,7532.0,7176.0,L4 IT,13882.522086203815,9823.42690789331
3199,11435.0,7174.0,OPC,15832.290035396247,6442.329756922647
3201,10353.0,7183.0,Oligo,15299.084264030305,7383.869243817409
3202,13724.0,7178.0,OPC,16980.254137011383,4461.997607660067
3203,10679.0,7184.0,Oligo,15462.950289434091,7102.044962183682
3206,9369.0,7197.0,L5 IT,14819.208619683288,8243.038241141297
3208,6243.0,7203.0,Oligo,13261.404772105994,10953.233653371452
3209,9271.0,7200.0,Astro,14772.806695894642,8329.408730712174
3210,8269.0,7190.0,Oligo,14263.146441856798,9192.16618530418
3212,6209.0,7207.0,OPC,13247.868873721132,10984.678517100125
3213,8679.0,7205.0,Oligo,14481.136822913564,8844.59576975256
3214,8561.0,7209.0,L4 IT,14425.600924528702,8948.786767399124
3215,8277.0,7200.0,Oligo,14275.806695894642,9190.237982073904
3216,11704.0,7215.0,SST,16002.297076951409,6229.868923304633
3220,12557.0,7222.0,Oligo,16434.8592547779,5494.649253876507
3223,8606.0,7227.0,Oligo,14463.689381796821,8918.815624228824
3225,7312.0,7228.0,Oligo,13817.555407200605,10039.952496725888
3226,8426.0,7229.0,L5 IT,14375.421432604391,9075.700196910024
3228,8103.0,7238.0,Oligo,14221.71566123845,9359.926402332396
3229,10676.0,7239.0,L5/6 NP,15509.081686642236,7132.143038395036
3231,10033.0,7229.0,Micro/PVM,15178.921432604391,7683.99737302843
3232,8585.0,7246.0,Micro/PVM,14469.643864468726,8946.502157708297
3233,6008.0,7243.0,Oligo,13178.545788257372,11176.749623260795
3234,7891.0,7247.0,VIP,14123.50988987251,9548.023787934697
3235,9560.0,7237.0,Astro,14949.349635834666,8097.627389018469
3236,12661.0,7245.0,Oligo,16506.77783906494,5416.0826118829245
3239,11894.0,7253.0,Oligo,16130.206042295216,6084.324096585589
3241,6408.0,7267.0,L2/3 IT,13399.330397948199,10842.33946174702
3243,7858.0,7260.0,Oligo,14118.268220121709,9583.102626259584
3244,9641.0,7259.0,Astro,15008.902194717924,8038.47933131193
3245,9107.0,7254.0,Oligo,14737.572067699002,8498.43689693282
3247,9021.0,7267.0,L6 IT,14705.830397948199,8579.41508165828
3252,7653.0,7286.0,Oligo,14038.284880620104,9773.637834035395
3258,8372.0,7294.0,Oligo,14404.713083850378,9154.965568714382
3261,5693.0,7297.0,Micro/PVM,13067.811160061732,11476.547625452893
3262,8022.0,7298.0,Chandelier,14233.177185465516,9460.074460038937
3265,7165.0,7311.0,L2/3 IT,13815.935515714715,10208.7582310822
3266,5858.0,7312.0,L6 IT,13163.301541118499,11341.15343382846
3267,8463.0,7295.0,L5 IT,14451.079109254164,9076.657256969998
3270,12414.0,7308.0,Oligo,16437.83743950336,5661.490886617681
3273,5657.0,7319.0,L2/3 IT,13068.86371894499,11518.724539989133
3274,9148.0,7325.0,Micro/PVM,14819.559871367697,8498.429855377657
3275,12719.0,7326.0,Oligo,16605.92589677148,5406.353138463428
3276,8671.0,7333.0,SST,14587.988074597972,8915.523972982835
3277,6575.0,7321.0,SST,13529.59576975256,10724.71321931502
3278,12993.0,7340.0,SST CHODL,16755.050252424462,5176.062177826492
3280,6891.0,7341.0,Oligo,13704.916277828248,10461.049191719136
3283,13046.0,7345.0,Oligo,16785.880379443384,5132.662831425916
3285,8012.0,7354.0,Oligo,14276.674608077445,9496.734714076782
3286,9599.0,7343.0,L5 IT,15060.648328635816,8116.852398270877
3287,12512.0,7362.0,Oligo,16533.60281130772,5603.620397046807
3288,9214.0,7347.0,Micro/PVM,14871.612430250954,8452.272178727886
3289,6865.0,7359.0,VIP,13707.504735096367,10492.565852217533
3290,11482.0,7349.0,PVALB,16007.344481058524,6489.126562944779
3292,12285.0,7365.0,Oligo,16422.700887519073,5801.7081637058745
3293,5763.0,7367.0,Oligo,13163.432938326643,11450.925847187982
3295,11369.0,7369.0,Oligo,15968.164989134213,6596.98743357242
3296,7795.0,7372.0,SST,14183.763065345565,9693.662226698005
3297,7286.0,7370.0,Oligo,13927.531014537995,10133.469157224283
3300,12096.0,7379.0,Oligo,16340.325243172058,5972.386965021133
3301,8857.0,7392.0,L5 IT,14732.083573421254,8783.94324787893
3304,13277.0,7394.0,Oligo,16943.815624228824,4957.110963151711
3305,5955.0,7395.0,Astro,13283.681649632606,11298.64896966137
3306,7874.0,7398.0,SNCG,14245.77972584396,9638.246219799033
3307,12213.0,7399.0,Oligo,16416.145751247746,5881.061992778354
3311,6410.0,7410.0,Oligo,13524.172030689373,10912.10741093945
3312,11383.0,7411.0,L6 IT,16011.538056093159,6605.863077919437
3313,11680.0,7410.0,Micro/PVM,16159.172030689373,6348.1535329954595
3315,13300.0,7419.0,Oligo,16976.966259323435,4949.692378864669
3318,6362.0,7422.0,Oligo,13510.564335534786,10959.676630321104
3319,8965.0,7424.0,PVALB,14813.796386342356,8706.41250427021
3321,10411.0,7419.0,Oligo,15532.466259323433,7451.639770397912
3323,9410.0,7430.0,OPC,15041.492538765062,8324.031199586134
3325,6809.0,7425.0,Oligo,13736.66241174614,10574.06327482946
3326,13080.0,7423.0,L6 IT,16870.43036093857,5142.2179676972455
3328,9385.0,7436.0,VIP,15034.18869118777,8348.681834680745
3330,11420.0,7428.0,Oligo,16044.760487957494,6582.320137979414
3332,12744.0,7442.0,Micro/PVM,16718.884843610474,5442.702503368817
3333,8400.0,7439.0,Micro/PVM,14544.286767399122,9203.216857408417
3334,11835.0,7440.0,Astro,16262.652792802906,6228.919595408872
3335,7434.0,7449.0,Oligo,14069.947021436967,10044.797397464186
3337,8357.0,7444.0,Oligo,14527.116894418044,9242.955949771149
3338,12635.0,7441.0,L6B,16663.518818206692,5536.599272381321
3339,6336.0,7445.0,Oligo,13517.482919821829,10993.6932908195
3340,8327.0,7455.0,Oligo,14521.643173859673,9274.436711884682
3343,7009.0,7457.0,Micro/PVM,13864.375224667243,10416.858194072573
3346,7374.0,7458.0,SST,14047.741250071027,10101.258921691253
3347,5869.0,7469.0,L4 IT,13304.767529512656,11410.127154386832
3349,7731.0,7469.0,Oligo,14235.767529512656,9797.587852540208
3351,8403.0,7471.0,Oligo,14573.499580320226,9216.618781197065
3353,12907.0,7492.0,L6 IT,16843.686113799697,5326.540362551954
3354,13003.0,7485.0,VIP,16885.623935973206,5239.901923788648
3355,8577.0,7486.0,L6B,14673.48996137699,9073.430360938572
3356,10900.0,7477.0,OPC,15827.195732742932,7057.153347947322
3359,5226.0,7493.0,Micro/PVM,13004.052139203483,11978.981489020227
3361,9426.0,7490.0,Oligo,15101.454062992128,8340.174793125585
3362,10130.0,7493.0,Oligo,15456.052139203483,7731.99290886134
3364,12311.0,7504.0,OPC,16556.078418645113,5848.6915032074785
3366,9232.0,7505.0,Astro,15017.444444048895,8515.683721459765
3368,9979.0,7515.0,Micro/PVM,15399.60469808674,7873.762744832789
3369,7109.0,7519.0,Oligo,13968.068799701878,10361.255653694128
3370,7625.0,7508.0,Oligo,14216.54252026025,9908.886545341358
3374,11051.0,7509.0,L6B,15930.408545664033,6942.383511975871
