,x,y,celltype_F,rotated_x,rotated_y
1312,6452,1303,Oligo,5016.183387400559,8568.192640286503
1320,6544,1309,Oligo,5034.199184592256,8658.610730575714
1321,8161,1308,Oligo,5453.67550634932,10220.253972640034
1324,7979,1313,Oligo,5401.740811009216,10045.749567480936
1335,5417,1316,Oligo,4735.748639977692,7571.824057663651
1336,5521,1317,Oligo,4761.699894842064,7672.539162642816
1339,8217,1318,Oligo,5458.510114612171,10276.934009363247
1346,5731,1320,Astro,4813.154116834727,7876.160043298829
1347,7426,1323,OPC,5248.954620804631,9514.180775994108
1348,8662,1323,Oligo,5568.854960551347,10708.065097287395
1349,9221,1322,Oligo,5714.500732589945,11247.758815137882
1353,7076,1326,Micro/PVM,5155.470177539883,9176.883193928239
1359,7119,1329,Astro,5163.701619000423,9219.194461593977
1372,8782,1335,Oligo,5588.32213604818,10827.082024983314
1376,6895,1338,Oligo,5097.032820460857,9005.15644791115
1386,6767,1345,Oligo,5057.142501903711,8883.329675461866
1388,7502,1345,Oligo,5247.374500054064,9593.285157784332
1395,8818,1357,Oligo,5576.389253493511,10867.549373721977
1397,5318,1358,Oligo,4669.556669808402,7487.06780075534
1408,5283,1366,Oligo,4652.770596619501,7455.330949196042
1409,5582,1366,Oligo,4730.157491105154,7744.142771256473
1411,8286,1368,Oligo,5428.072337409791,10356.52384363232
1413,6265,1368,Oligo,4904.999047257597,8404.387748702113
1414,6695,1369,Oligo,5015.325310825392,8819.994673051515
1421,5022,1373,Oligo,4578.45734506372,7205.036041850312
1422,6383,1372,Oligo,4931.675991274538,8519.402272384632
1429,7417,1377,Oligo,5194.465254779099,9519.463671993042
1443,8507,1390,Oligo,5464.020978199088,10575.68747023446
1449,4982,1395,Oligo,4546.854215081259,7172.093027791005
1450,6172,1393,Oligo,4856.780730405837,8321.027122984791
1451,9229,1395,Oligo,5646.058699631663,11274.380012040678
1461,7134,1401,Oligo,5098.037245184149,9252.318320235696
1462,7629,1401,Oligo,5226.152672509896,9730.451604248785
1463,8607,1403,Oligo,5477.3458469675825,10675.644700449699
1466,7247,1404,Oligo,5124.386019801866,9362.244395741669
1469,9194,1407,Oligo,5625.408923137606,11243.67843666179
1471,8758,1409,Oligo,5510.631967820329,10823.052414489963
1472,8810,1409,Oligo,5524.09055816566,10873.280557456994
