,x,y,celltype_F,rotated_x,rotated_y
8222,11885,11754,Astro,3302.5989753485883,15825.953019933953
8225,12010,11766,Oligo,3390.641079422222,15915.494004462198
8228,13375,11773,OPC,4431.792231011821,16798.261402786156
8231,11348,11776,Oligo,2877.0917819805936,15497.6290512809
8236,12365,11781,L6 IT,3652.945042584161,16155.174272547705
8238,14012,11786,Micro/PVM,4911.406302352684,17217.675687917028
8243,12042,11789,Oligo,3400.3703865792386,15953.682230163904
8252,11166,11796,Oligo,2724.815941139209,15395.962595180328
8253,14170,11796,Oligo,5026.013448268617,17326.896574678693
8255,11184,11808,Chandelier,2730.891289799112,15416.725305472113
8259,13952,11814,Oligo,4847.445582694323,17200.55767574317
8264,12390,11825,Oligo,3643.813498835928,16204.949918287102
8266,10815,11828,L6B,2435.3651380944784,15194.85756636016
8269,13078,11831,Oligo,4166.995350043666,16651.78406041016
8272,10793,11834,Oligo,2414.655434687742,15185.31250560577
8273,13527,11833,Astro,4509.663729784712,16941.92778604565
8274,14090,11834,Astro,4940.303963651011,17304.58325474229
8278,10313,11838,Oligo,2044.3829515518858,14879.838630728707
8279,11140,11843,Oligo,2674.687767962848,15415.25420615507
8280,12361,11843,VIP,3610.02803301112,16200.097877582335
8286,11817,11851,L2/3 IT,3188.157555076903,15856.54977345781
8291,10560,11857,Chandelier,2221.3829644182288,15053.162014740543
8295,11407,11861,Astro,2867.6514573012573,15600.667297917518
8296,11641,11862,L2/3 IT,3046.2630693814112,15751.845643027287
8306,13396,11868,L6 IT,4386.814341397097,16884.53416468588
8311,12101,11873,Micro/PVM,3391.572849509589,16055.954432357405
8312,13721,11872,Oligo,4633.207634972021,17096.50431560648
8313,14638,11873,Oligo,5335.027601702436,17686.706598132154
8316,11185,11874,Oligo,2689.2333520029188,15467.927026327652
8319,10348,11877,Oligo,2046.1257902832751,14932.211930349376
8321,10593,11880,L6 IT Car3,2231.878316018365,15091.993028051935
8324,11319,11883,L6B,2786.098218893683,15560.95496601372
8325,11948,11884,L6B,3267.2973860058337,15966.034416949673
8326,12164,11885,Astro,3432.1201981098466,16105.642585085083
8327,10903,11888,L5 ET,2464.2097925077555,15297.385542599715
8330,13095,11889,Oligo,4142.736424214869,16707.142027475726
8333,13381,11893,Oligo,4359.253984508149,16894.043461618552
8334,13424,11894,L6 CT,4391.551107952579,16922.449373278192
8341,11177,11897,Micro/PVM,2668.320881435177,15480.403747641896
8344,10880,11901,L6 IT Car3,2438.2345313900946,15292.560005337471
8346,13671,11903,SST,4574.978996915788,17088.11231285884
8349,13984,11915,OPC,4807.0374562957895,17298.497368008153
8354,15334,11923,Oligo,5836.055153628917,18172.388996629936
8359,14528,11927,Astro,5216.052182036276,17657.36636099506
8367,14818,11943,PVALB,5427.920468785795,17856.03147889406
8368,10921,11947,Chandelier,2440.0741235123915,15354.152341718092
8372,10620,11953,Oligo,2205.63802047546,15165.269537861157
8373,12471,11953,L6 IT Car3,3623.5862846886885,16355.069403390942
8374,15205,11952,OPC,5718.59457978566,18111.68468383082
8379,12506,11958,OPC,3647.1839021494197,16381.397191945565
8388,14182,11966,Astro,4925.932087939333,17464.837581325155
8394,13935,11978,Oligo,4729.005659172708,17315.26157505001
8397,10971,11976,Oligo,2459.7355049874313,15408.507011052869
8401,10632,11985,Astro,2194.2613502829186,15197.496411357202
8402,11256,11986,Oligo,2671.630295179474,15599.361924244724
8403,13911,11986,Oligo,4705.478291660361,17305.963027962483
8406,10403,11987,Micro/PVM,2017.5515975892997,15051.830137625224
8407,13263,11987,Micro/PVM,4208.438704909577,16890.202701328726
8419,12535,12002,L6 IT Car3,3641.116536173662,16433.74398812371
8422,12221,12005,Oligo,3398.6502182052436,16234.206812011495
8423,14642,12007,Oligo,5251.958239776915,17791.927703948844
8426,11267,12013,Oligo,2662.7015185922464,15627.115787915487
8427,13285,12017,Micro/PVM,4206.008054367598,16927.3253620354
8428,14315,12018,L6 IT,4994.391043170457,17590.162644455653
8431,10964,12022,Oligo,2424.804963840017,15439.245542168537
8432,14539,12022,Oligo,5163.413847990363,17737.211246797917
8435,10728,12024,Oligo,2242.7329000445657,15289.079755168752
8439,10990,12030,L6 IT Car3,2439.579818483618,15462.086375565339
8442,12237,12033,Oligo,3392.9088762239235,16265.94065817381
8444,14100,12035,Oligo,4818.764098535207,17464.98606390607
8448,10780,12048,L5/6 NP,2267.1403084542753,15340.889777507306
8449,11636,12048,Astro,2922.8743517641205,15891.115971398984
8452,15466,12055,Oligo,5852.325055642,18358.354827600262
8456,15266,12061,Oligo,5695.259441360085,18234.39357232167
8458,13984,12062,L6 IT,4712.547677671868,17411.105901146642
8460,13119,12064,Oligo,4048.6336591545796,16856.626707654024
8463,12423,12067,L6 IT,3513.538363914711,16411.54466464155
8465,13888,12069,Oligo,4634.507897864642,17354.760601718568
8472,12848,12077,Oligo,3832.679376143411,16692.38984318952
8476,14241,12088,Oligo,4892.708621701595,17596.21947235718
8478,10859,12090,L6 IT Car3,2300.66073985384,15423.84386528354
8479,13145,12090,Oligo,4051.8383368238237,16893.25634102697
8481,10691,12091,L6 IT Car3,2171.322485800165,15316.621591299321
8482,11463,12093,L6B,2761.423220668643,15814.385714863567
8483,15263,12094,L6 IT,5671.749316911071,18257.744676115537
8484,11021,12095,L5 IT,2421.5460015906815,15531.805680268355
8485,14272,12098,Micro/PVM,4910.028123341419,17623.80633268865
8489,12129,12104,Oligo,3264.5381560793303,16250.908751789111
8490,12463,12103,Oligo,3521.0397876907555,16464.833768981298
8491,11381,12104,Oligo,2691.536912626334,15770.103619743579
8492,13622,12103,L6B,4408.885297265651,17209.824608607996
8493,15091,12104,Oligo,5533.5617965977435,18154.84565168064
8494,15064,12107,Oligo,5510.95023380447,18139.788519548463
8497,10823,12118,SST,2255.0850868303337,15422.152755742156
8501,14680,12124,Oligo,5205.861778282113,17905.980832961854
8502,15655,12125,L6 CT,5952.1123227134285,18533.46479684935
8511,15576,12143,Oligo,5880.024634732672,18496.47337566025
8520,15082,12154,L6 IT Car3,5494.528016125343,18187.36278534941
8524,15460,12155,Oligo,5783.450028014631,18431.102546254042
8529,12317,12162,L5/6 NP,3371.2728300238787,16416.183400111084
8533,13846,12169,Oligo,4538.055270284989,17404.367966423633
8537,15054,12171,Oligo,5462.151382353341,18182.38748781121
8551,12374,12185,Micro/PVM,3400.15324825887,16470.441316054952
8555,12345,12192,Oligo,3373.438446140614,16457.162786475874
8557,12716,12193,Oligo,3656.9981469280683,16696.4030341127
8561,14762,12197,L6 CT,5221.75392711075,18014.610661303836
8562,15109,12196,Oligo,5488.214136482722,18236.891917421945
8565,11739,12203,L6B,2902.1448499039616,16076.059983880139
8574,13367,12219,L6 IT,4138.980601546673,17134.774923539728
8576,10722,12225,Oligo,2108.9363238388573,15439.197962577546
8578,13195,12223,L6 IT Car3,4004.6498068914616,17027.279632446123
8582,10818,12232,Oligo,2177.977077110473,15506.267884209286
8583,13810,12234,OPC,4468.696475703082,17431.02050127765
8586,15572,12238,Oligo,5815.8956340399745,18566.67644731781
8604,13216,12260,L2/3 IT,3996.9535986385595,17069.12181664494
8613,10796,12270,Oligo,2136.698170193767,15521.236245634704
8615,13829,12271,L2/3 IT,4459.4681785639405,17471.577110257098
8619,14524,12276,Oligo,4988.655128483197,17922.144721204837
8628,14267,12291,Oligo,4782.139892456322,17768.43897216218
8634,12002,12298,L6 CT,3042.549715524031,16317.887347324002
8639,13944,12305,Oligo,4525.70851079328,17571.543196437095
8640,15058,12304,OPC,5379.7248080375075,18286.84254918478
8642,15574,12310,OPC,5771.147015028781,18623.11722244175
8643,12729,12311,Oligo,3591.1077867456024,16795.152517326664
8644,12912,12314,L6 IT,3729.365557007317,16915.08078322866
8646,12610,12316,L6 IT Car3,3496.734559966012,16722.49101398956
8647,11382,12319,Astro,2554.1036209868475,15935.445962623846
8648,14347,12320,Chandelier,4824.78260722493,17842.077269787555
8650,11170,12322,SST,2389.773836216565,15801.473122699657
8652,11854,12323,L6 CT,2913.105447700259,16241.905892168368
8657,15038,12328,Oligo,5348.977016542651,18292.371863625907
8667,11743,12333,SST,2821.646638417187,16178.216911924352
8672,15459,12335,Oligo,5666.982213827936,18568.347758405773
8679,11378,12344,Oligo,2534.9697529722084,15952.025923263074
8680,11187,12346,L6 IT,2387.3696891171103,15830.785578699184
8681,13955,12345,Oligo,4508.423495280127,17609.255637868406
8685,13303,12354,L6 IT,4003.1774298793757,17197.052516340853
8686,15202,12355,Oligo,5457.253039752628,18418.47223157871
8689,13955,12365,Oligo,4495.567743086397,17624.576526730787
8695,11483,12364,Oligo,2602.54866730597,16034.83951114254
8698,12349,12367,OPC,3264.0147922179453,16593.791714460443
8706,11805,12370,L6B,2845.3582523321616,16246.41338812032
8709,11633,12376,L6 IT,2709.741882457578,16140.450185912949
8710,15765,12380,Oligo,5872.466370986447,18799.512766910208
8712,12432,12383,Oligo,3317.311879241836,16659.39979715433
8717,12319,12386,L6 CT,3228.8204943403316,16589.062930589105
8719,15468,12388,Oligo,5639.808870502619,18614.733202378255
8728,10821,12397,Chandelier,2074.215254841551,15634.593580152978
8729,15335,12398,L6 CT,5531.497083470931,18536.902894721137
8735,12466,12402,OPC,3331.1444257238363,16695.809420302932
8737,11183,12404,PVALB,2347.023829982815,15872.645005961338
8739,14176,12405,Micro/PVM,4639.152060628229,17797.27436619627
8744,14776,12413,Oligo,5093.636425622124,18189.075287553147
8746,13922,12417,Oligo,4436.863320759771,17643.198846653315
8748,13338,12418,L6 IT Car3,3988.8505783686014,17268.576927039496
8749,15464,12420,Oligo,5616.175489220174,18636.675474119318
8754,11392,12423,L6 IT Car3,2494.9141540106375,16021.542460805085
8758,11530,12427,LAMP5 LHX6,2598.05713672231,16113.311328714304
8763,12483,12430,Oligo,3326.1691281856365,16728.186054074933
8764,13624,12432,Micro/PVM,4198.940262565016,17463.13880561351
8765,15294,12430,L6 CT,5479.520057793083,18535.062024903797
8768,11022,12435,SST,2203.7642587403775,15792.903578538493
8769,13251,12435,Oligo,3911.2773224525795,17225.67716052979
8770,14796,12436,Oligo,5094.173199461713,18219.550061938615
8773,13649,12442,L6 IT,4211.663497546126,17486.868940286866
8776,11205,12443,Oligo,2338.8080909536575,15916.662066656081
8787,11410,12456,Oligo,2487.490962867123,16058.39210440237
8788,15750,12455,L6B,5812.766633613173,18847.32428599883
8790,13926,12458,Oligo,4413.5732065350985,17677.17781925994
8797,11538,12464,L6B,2580.40235070886,16146.797273987198
8800,13148,12465,Oligo,3813.091116520727,17182.451370025643
8807,15469,12471,Astro,5587.223543341755,18678.957678766816
8814,15905,12477,Oligo,5917.362194883512,18963.809343248864
8821,12902,12492,L6B,3607.2889180519223,17045.00881800697
8824,13926,12496,L5/6 NP,4389.14727736701,17706.28750809846
8827,12340,12500,Oligo,3171.6296401415643,16689.890536908086
8829,10908,12500,Oligo,2074.6539975951887,15769.418679836961
8832,13796,12505,Oligo,4283.776411274364,17629.619518827283
8833,13885,12506,Astro,4351.3115791022665,17687.593660532504
8834,15568,12508,Oligo,5639.278801652134,18770.937296521188
8837,13279,12510,L6B,3884.51749613342,17301.128546834938
8853,11627,12527,Oligo,2608.084686736197,16252.266171165797
8856,12530,12528,L6 IT,3299.1800312629475,16833.469427155862
8862,15294,12536,Oligo,5411.384571166309,18616.262735874407
8865,14786,12541,L2/3 IT,5019.020056013435,18293.556852369242
8866,16014,12542,Astro,5959.079844553855,19083.66608150743
8868,13509,12545,Oligo,4038.2101517117558,17475.781252572007
8869,14536,12544,Oligo,4825.580582404632,18135.15808327696
8873,13200,12551,L6B,3797.6456931298726,17281.75614783758
8875,13808,12553,Oligo,4262.115139326838,17674.103103413232
8876,14304,12555,Oligo,4640.787607894477,17994.457846703994
8878,13304,12556,L6 IT Car3,3874.1003771658134,17352.43628146057
8885,11520,12563,Oligo,2502.977577373751,16211.06549688162
8886,14262,12563,Oligo,4603.471440405989,17973.58912264211
8892,13824,12570,Oligo,4263.44446105207,17697.41046070124
8894,14063,12571,Oligo,4445.886295347818,17851.802743859444
8896,14474,12573,L6B,4759.444986250345,18117.52054032685
8901,14780,12578,L6B,4990.640647796321,18318.043771106524
8902,13936,12578,Oligo,4344.099137803903,17775.531028531084
8903,16071,12578,L2/3 IT,5979.604023862921,19147.882575211846
8905,12893,12581,Astro,3543.18642080175,17107.40168495738
8907,11860,12582,Micro/PVM,2751.219723450159,16444.168128594305
8910,13808,12584,Oligo,4242.188723426556,17697.850481149922
