,x,y,celltype_F,rotated_x,rotated_y
14100,21016,10211,Oligo,21016.0,10211.0
14101,20974,10207,Oligo,20974.0,10207.0
14105,22029,10215,Astro,22029.0,10215.0
14114,22577,10223,Oligo,22577.0,10223.0
14119,23547,10229,L6 IT,23547.0,10229.0
14126,22971,10235,L6B,22971.0,10235.0
14131,22678,10241,L6 CT,22678.0,10241.0
14134,20011,10243,Oligo,20011.0,10243.0
14169,21730,10262,LAMP5 LHX6,21730.0,10262.0
14177,20579,10266,Oligo,20579.0,10266.0
14221,22688,10291,Oligo,22688.0,10291.0
14228,20437,10299,L6 CT,20437.0,10299.0
14229,22052,10298,Oligo,22052.0,10298.0
14230,22071,10300,Micro/PVM,22071.0,10300.0
14238,22760,10304,Astro,22760.0,10304.0
14251,23360,10313,Oligo,23360.0,10313.0
14255,21492,10319,OPC,21492.0,10319.0
14261,23332,10321,Oligo,23332.0,10321.0
14265,20692,10325,Oligo,20692.0,10325.0
14270,21936,10328,Oligo,21936.0,10328.0
14301,23343,10344,Oligo,23343.0,10344.0
14302,20220,10346,Oligo,20220.0,10346.0
14306,22676,10347,Oligo,22676.0,10347.0
14311,20258,10358,L6 IT,20258.0,10358.0
14326,23958,10364,Oligo,23958.0,10364.0
14329,20420,10363,L6 CT,20420.0,10363.0
14339,20988,10368,Oligo,20988.0,10368.0
14360,20582,10377,Oligo,20582.0,10377.0
14389,21855,10391,Astro,21855.0,10391.0
14395,20755,10395,Micro/PVM,20755.0,10395.0
14399,22611,10397,L6 IT,22611.0,10397.0
14411,20501,10407,Oligo,20501.0,10407.0
14427,21938,10413,Oligo,21938.0,10413.0
14428,23886,10408,Oligo,23886.0,10408.0
14454,20969,10427,Oligo,20969.0,10427.0
14465,22075,10432,LAMP5,22075.0,10432.0
14490,21773,10446,Astro,21773.0,10446.0
14491,22357,10446,Oligo,22357.0,10446.0
14498,21457,10452,Oligo,21457.0,10452.0
14520,22734,10462,Oligo,22734.0,10462.0
14540,21813,10476,Oligo,21813.0,10476.0
14541,22416,10475,Oligo,22416.0,10475.0
14552,20544,10481,Oligo,20544.0,10481.0
14564,21035,10486,Oligo,21035.0,10486.0
14569,22036,10487,Oligo,22036.0,10487.0
14576,23779,10491,Oligo,23779.0,10491.0
14608,21836,10506,Oligo,21836.0,10506.0
14625,20400,10514,L6 IT,20400.0,10514.0
14626,21314,10514,Oligo,21314.0,10514.0
14630,20047,10517,Oligo,20047.0,10517.0
14631,20434,10517,L6 CT,20434.0,10517.0
14638,23626,10520,Astro,23626.0,10520.0
14650,20470,10528,Oligo,20470.0,10528.0
14651,23596,10529,Oligo,23596.0,10529.0
14655,22217,10532,Oligo,22217.0,10532.0
14656,22443,10533,Oligo,22443.0,10533.0
14662,20839,10534,Oligo,20839.0,10534.0
14665,22702,10536,Oligo,22702.0,10536.0
14676,20617,10545,SST CHODL,20617.0,10545.0
14682,23139,10546,Oligo,23139.0,10546.0
14686,23984,10548,Oligo,23984.0,10548.0
14714,21029,10561,Oligo,21029.0,10561.0
14721,21147,10563,Oligo,21147.0,10563.0
14728,22915,10567,Oligo,22915.0,10567.0
14747,21993,10575,Oligo,21993.0,10575.0
14758,20295,10580,Oligo,20295.0,10580.0
14759,20851,10579,L6 CT,20851.0,10579.0
14764,23868,10580,Oligo,23868.0,10580.0
14768,20494,10582,Oligo,20494.0,10582.0
14774,23711,10588,L6 CT,23711.0,10588.0
14797,23329,10602,Oligo,23329.0,10602.0
14807,21124,10607,Oligo,21124.0,10607.0
14808,23547,10607,Oligo,23547.0,10607.0
14810,20124,10609,Oligo,20124.0,10609.0
14843,20337,10629,Oligo,20337.0,10629.0
14854,23098,10632,Oligo,23098.0,10632.0
14885,22264,10647,Oligo,22264.0,10647.0
14897,20845,10653,VIP,20845.0,10653.0
14898,23717,10651,L6 IT,23717.0,10651.0
14901,20408,10653,Oligo,20408.0,10653.0
14902,22594,10653,Astro,22594.0,10653.0
14903,23018,10653,Oligo,23018.0,10653.0
14944,22516,10677,Oligo,22516.0,10677.0
14947,20588,10677,Oligo,20588.0,10677.0
14950,20543,10679,VIP,20543.0,10679.0
14951,22645,10680,Oligo,22645.0,10680.0
14957,20749,10685,Oligo,20749.0,10685.0
14961,22600,10686,Oligo,22600.0,10686.0
14963,22321,10687,Oligo,22321.0,10687.0
14967,21646,10690,Oligo,21646.0,10690.0
14979,23484,10696,LAMP5 LHX6,23484.0,10696.0
15006,20296,10710,Oligo,20296.0,10710.0
15014,22445,10717,Oligo,22445.0,10717.0
15022,21636,10721,Oligo,21636.0,10721.0
15023,22524,10721,Oligo,22524.0,10721.0
15024,23378,10723,LAMP5 LHX6,23378.0,10723.0
15025,23967,10723,Oligo,23967.0,10723.0
15040,23565,10731,L6 CT,23565.0,10731.0
15049,20385,10736,Oligo,20385.0,10736.0
15053,23461,10736,Oligo,23461.0,10736.0
15054,23832,10738,Oligo,23832.0,10738.0
15061,20803,10743,Oligo,20803.0,10743.0
15074,20931,10753,PVALB,20931.0,10753.0
15084,22419,10758,Oligo,22419.0,10758.0
15087,21949,10760,Oligo,21949.0,10760.0
15093,23121,10762,Oligo,23121.0,10762.0
15096,20844,10762,Oligo,20844.0,10762.0
15100,21544,10764,OPC,21544.0,10764.0
15110,23936,10770,Astro,23936.0,10770.0
15122,20493,10775,Oligo,20493.0,10775.0
15129,20593,10778,Oligo,20593.0,10778.0
15133,20796,10780,Oligo,20796.0,10780.0
15142,23593,10783,Oligo,23593.0,10783.0
15157,20475,10793,Oligo,20475.0,10793.0
15158,22177,10791,Oligo,22177.0,10791.0
15169,20728,10801,Oligo,20728.0,10801.0
15171,20144,10803,L5 ET,20144.0,10803.0
15187,20670,10808,Oligo,20670.0,10808.0
15191,22421,10811,Astro,22421.0,10811.0
15208,21299,10821,OPC,21299.0,10821.0
15216,20765,10822,Astro,20765.0,10822.0
15239,20744,10834,Micro/PVM,20744.0,10834.0
15249,21101,10837,Oligo,21101.0,10837.0
15256,22008,10840,Oligo,22008.0,10840.0
15264,21470,10844,Oligo,21470.0,10844.0
15303,20526,10867,Oligo,20526.0,10867.0
15310,23798,10871,L6 CT,23798.0,10871.0
15325,22224,10879,LAMP5 LHX6,22224.0,10879.0
15328,21765,10881,Oligo,21765.0,10881.0
15350,23498,10890,Oligo,23498.0,10890.0
15357,21482,10894,Oligo,21482.0,10894.0
15367,22869,10900,LAMP5 LHX6,22869.0,10900.0
15386,22927,10910,L6 IT,22927.0,10910.0
15389,21225,10915,Oligo,21225.0,10915.0
15394,21798,10917,L5 ET,21798.0,10917.0
15414,20309,10928,L6 CT,20309.0,10928.0
15415,22361,10928,L6 CT,22361.0,10928.0
15420,21279,10930,Oligo,21279.0,10930.0
15430,20339,10932,Oligo,20339.0,10932.0
15433,22423,10936,Oligo,22423.0,10936.0
15440,22159,10940,Oligo,22159.0,10940.0
15441,22324,10941,L6 IT,22324.0,10941.0
15446,22652,10946,Oligo,22652.0,10946.0
15461,23785,10956,Oligo,23785.0,10956.0
15462,23965,10953,Oligo,23965.0,10953.0
15476,21261,10963,Oligo,21261.0,10963.0
15482,22059,10963,Oligo,22059.0,10963.0
15483,22367,10964,Oligo,22367.0,10964.0
15489,21289,10967,L6 IT,21289.0,10967.0
15490,22446,10967,Oligo,22446.0,10967.0
15495,22711,10968,L6 IT Car3,22711.0,10968.0
15511,20314,10981,Oligo,20314.0,10981.0
15512,21221,10982,Oligo,21221.0,10982.0
15517,22777,10985,Oligo,22777.0,10985.0
15527,23384,10993,Oligo,23384.0,10993.0
15534,20444,10995,Oligo,20444.0,10995.0
15537,22345,10997,Oligo,22345.0,10997.0
15538,23039,10997,Micro/PVM,23039.0,10997.0
15539,23943,10998,Oligo,23943.0,10998.0
15554,20925,11005,PAX6,20925.0,11005.0
15555,21363,11004,Oligo,21363.0,11004.0
15573,21253,11016,Oligo,21253.0,11016.0
