,x,y,celltype_F,rotated_x,rotated_y
9038,8348,9272,Astro,8348.0,9272.0
9041,5894,9273,Astro,5894.0,9273.0
9050,8800,9279,Oligo,8800.0,9279.0
9056,6766,9286,Astro,6766.0,9286.0
9057,7669,9285,Micro/PVM,7669.0,9285.0
9081,6176,9311,Oligo,6176.0,9311.0
9082,6901,9311,L6B,6901.0,9311.0
9089,6141,9315,Oligo,6141.0,9315.0
9091,7362,9321,Oligo,7362.0,9321.0
9118,8457,9338,Oligo,8457.0,9338.0
9123,7053,9339,SST,7053.0,9339.0
9124,8204,9338,L6 IT,8204.0,9338.0
9127,6357,9339,Oligo,6357.0,9339.0
9133,5902,9344,L6 IT,5902.0,9344.0
9149,6787,9358,OPC,6787.0,9358.0
9159,7131,9371,Astro,7131.0,9371.0
9162,8176,9371,Oligo,8176.0,9371.0
9169,8722,9376,L5 IT,8722.0,9376.0
9186,5702,9389,Oligo,5702.0,9389.0
9188,7438,9393,Oligo,7438.0,9393.0
9189,7883,9393,L6 IT,7883.0,9393.0
9190,8556,9393,L6 CT,8556.0,9393.0
9194,6220,9401,L6B,6220.0,9401.0
9195,6879,9396,Oligo,6879.0,9396.0
9204,9290,9401,Oligo,9290.0,9401.0
9208,6668,9397,L6 IT,6668.0,9397.0
9209,8984,9403,Oligo,8984.0,9403.0
9225,8659,9422,Astro,8659.0,9422.0
9249,8425,9444,Oligo,8425.0,9444.0
9266,8339,9458,Oligo,8339.0,9458.0
9267,5833,9459,Oligo,5833.0,9459.0
9270,7439,9463,L6 IT,7439.0,9463.0
9276,6486,9465,Oligo,6486.0,9465.0
9278,5738,9466,Astro,5738.0,9466.0
9288,7636,9483,Oligo,7636.0,9483.0
9302,5615,9498,SST,5615.0,9498.0
9305,7826,9501,L6B,7826.0,9501.0
9306,8133,9501,LAMP5,8133.0,9501.0
9309,6765,9502,Oligo,6765.0,9502.0
9324,9104,9513,L6 IT Car3,9104.0,9513.0
9327,7734,9517,Astro,7734.0,9517.0
9328,8522,9524,Endo,8522.0,9524.0
9340,6467,9537,Oligo,6467.0,9537.0
9343,8539,9541,Oligo,8539.0,9541.0
9349,6995,9545,Oligo,6995.0,9545.0
9353,5871,9547,Oligo,5871.0,9547.0
9358,7443,9553,Oligo,7443.0,9553.0
9367,6439,9558,Oligo,6439.0,9558.0
9368,6637,9556,Oligo,6637.0,9556.0
9378,5790,9562,L6 IT,5790.0,9562.0
9384,6488,9569,L2/3 IT,6488.0,9569.0
9387,5992,9572,Oligo,5992.0,9572.0
9398,8199,9580,Astro,8199.0,9580.0
9402,6328,9582,Oligo,6328.0,9582.0
9408,9273,9593,Astro,9273.0,9593.0
9411,5604,9594,Oligo,5604.0,9594.0
9426,8756,9606,Astro,8756.0,9606.0
9431,6019,9606,L6 CT,6019.0,9606.0
9432,7143,9607,Astro,7143.0,9607.0
9442,6306,9616,Oligo,6306.0,9616.0
9443,6885,9616,Oligo,6885.0,9616.0
9450,5617,9618,L6 IT Car3,5617.0,9618.0
9453,8434,9623,L6 IT Car3,8434.0,9623.0
9455,9414,9627,Astro,9414.0,9627.0
9459,6118,9628,Oligo,6118.0,9628.0
9461,6024,9633,L6B,6024.0,9633.0
9462,8359,9631,LAMP5 LHX6,8359.0,9631.0
9477,7038,9641,Astro,7038.0,9641.0
9479,9471,9644,Oligo,9471.0,9644.0
9481,7915,9645,LAMP5 LHX6,7915.0,9645.0
9492,7833,9652,L6 IT Car3,7833.0,9652.0
9495,6183,9655,Oligo,6183.0,9655.0
9508,6246,9666,Astro,6246.0,9666.0
9509,8592,9669,Astro,8592.0,9669.0
9512,9460,9671,Micro/PVM,9460.0,9671.0
9525,9137,9682,Oligo,9137.0,9682.0
9526,7824,9685,L6 IT,7824.0,9685.0
9533,6676,9689,Oligo,6676.0,9689.0
9543,7205,9699,Oligo,7205.0,9699.0
9544,7514,9699,Oligo,7514.0,9699.0
9546,6582,9700,VLMC,6582.0,9700.0
9547,8795,9700,Astro,8795.0,9700.0
9566,8811,9721,L6 IT,8811.0,9721.0
9575,8226,9727,Astro,8226.0,9727.0
9585,8506,9734,Astro,8506.0,9734.0
9597,6842,9745,Oligo,6842.0,9745.0
9602,6004,9750,Oligo,6004.0,9750.0
9603,7531,9750,OPC,7531.0,9750.0
9604,8971,9750,Astro,8971.0,9750.0
9605,6589,9752,OPC,6589.0,9752.0
9606,7045,9751,Micro/PVM,7045.0,9751.0
9611,7774,9756,Oligo,7774.0,9756.0
9619,7026,9765,Oligo,7026.0,9765.0
9620,7855,9766,Oligo,7855.0,9766.0
9627,6151,9771,LAMP5 LHX6,6151.0,9771.0
9631,6815,9774,Oligo,6815.0,9774.0
9632,9497,9774,OPC,9497.0,9774.0
9633,7549,9775,Oligo,7549.0,9775.0
9642,6661,9782,Oligo,6661.0,9782.0
9645,7875,9784,L6B,7875.0,9784.0
9646,8668,9784,L6 CT,8668.0,9784.0
9648,8134,9791,Oligo,8134.0,9791.0
9650,6752,9794,Oligo,6752.0,9794.0
9652,8048,9798,Oligo,8048.0,9798.0
9660,8911,9804,Oligo,8911.0,9804.0
9661,6287,9805,Oligo,6287.0,9805.0
9666,6807,9812,Oligo,6807.0,9812.0
9690,6203,9833,Oligo,6203.0,9833.0
9704,9388,9840,Oligo,9388.0,9840.0
9707,8573,9844,Oligo,8573.0,9844.0
9718,6504,9853,Oligo,6504.0,9853.0
9729,7015,9863,Endo,7015.0,9863.0
9742,6671,9872,L6 IT,6671.0,9872.0
9747,7346,9874,L6 IT Car3,7346.0,9874.0
9753,6522,9878,L6 CT,6522.0,9878.0
9755,9222,9882,Oligo,9222.0,9882.0
9758,7714,9885,L2/3 IT,7714.0,9885.0
9760,9372,9891,Astro,9372.0,9891.0
9766,8178,9901,Astro,8178.0,9901.0
9787,6275,9913,Oligo,6275.0,9913.0
9788,6357,9914,Oligo,6357.0,9914.0
9793,5619,9921,L6 CT,5619.0,9921.0
9794,8595,9920,L6B,8595.0,9920.0
9797,6938,9924,Oligo,6938.0,9924.0
9813,7609,9938,Oligo,7609.0,9938.0
9817,6582,9939,VIP,6582.0,9939.0
9819,6329,9942,L6 CT,6329.0,9942.0
9824,7383,9946,Oligo,7383.0,9946.0
9828,8559,9947,Astro,8559.0,9947.0
9830,8921,9950,VIP,8921.0,9950.0
9840,7675,9959,Micro/PVM,7675.0,9959.0
9842,7359,9960,Oligo,7359.0,9960.0
9846,7583,9960,Micro/PVM,7583.0,9960.0
9847,9256,9958,L6 IT,9256.0,9958.0
9852,5503,9965,L6 IT,5503.0,9965.0
9856,8370,9971,Micro/PVM,8370.0,9971.0
9861,6154,9975,Oligo,6154.0,9975.0
9862,6608,9976,L6 IT,6608.0,9976.0
9870,9147,9980,Endo,9147.0,9980.0
9873,6433,9983,Oligo,6433.0,9983.0
9879,7697,9992,Astro,7697.0,9992.0
